GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race
0400000US01,01,Alabama,4817678,3327891,1269808,25181,58322,1430,58618,76428,6374
0400000US02,02,Alaska,728300,484195,25148,102743,40976,8335,8382,58521,2973
0400000US04,04,Arizona,6561516,5174082,274380,290780,191071,12638,418033,200532,45152
0400000US05,05,Arkansas,2947036,2306073,458136,18337,38409,6278,60565,59238,5227
0400000US06,06,California,38066920,23650913,2262323,287360,5130536,147286,4890329,1698173,398497
0400000US08,08,Colorado,5197580,4364911,209062,49917,146561,6641,240282,180206,35758
0400000US09,09,Connecticut,3592053,2789105,365871,8036,145842,1105,183297,98797,23150
0400000US10,10,Delaware,917060,639354,198028,3134,31745,494,20369,23936,2591
0400000US11,11,District of Columbia,633736,254955,314138,2072,22785,195,23999,15592,2015
0400000US12,12,Florida,19361792,14747196,3114841,59121,490833,12128,484274,453399,86393
0400000US13,13,Georgia,9907756,5989234,3056726,25137,344195,4317,287276,200871,30163
0400000US15,15,Hawaii,1392704,350634,26913,2725,529907,138735,15357,328433,11101
0400000US16,16,Idaho,1599464,1468732,9334,20363,21749,2177,37553,39556,5438
0400000US17,17,Illinois,12868747,9331376,1849054,28535,627402,3240,751248,277892,56071
0400000US18,18,Indiana,6542411,5519313,598423,15286,114674,2076,151502,141137,18714
0400000US19,19,Iowa,3078116,2813097,95716,9688,59726,1715,39953,58221,6041
0400000US20,20,Kansas,2882946,2457815,167220,23727,72568,1655,64931,95030,10617
0400000US21,21,Kentucky,4383272,3845535,345035,9000,53448,2109,41518,86627,7448
0400000US22,22,Louisiana,4601049,2890570,1477781,28807,75409,1671,49002,77809,8945
0400000US23,23,Maine,1328535,1262817,14865,7552,14610,198,3251,25242,998
0400000US24,24,Maryland,5887776,3418336,1737155,16429,344956,2425,198969,169506,20198
0400000US25,25,Massachusetts,6657291,5326774,465792,13642,384642,1645,274529,190267,33591
0400000US26,26,Michigan,9889024,7829621,1383205,54960,258567,1995,107141,253535,26173
0400000US27,27,Minnesota,5383661,4585781,290545,56490,230798,2166,78863,139018,10914
0400000US28,28,Mississippi,2984345,1769693,1113652,13056,28067,365,25086,34426,3358
0400000US29,29,Missouri,6028076,4991914,695813,24269,101772,5983,64057,144268,12998
0400000US30,30,Montana,1006370,899503,4563,65110,6651,699,4945,24899,1387
0400000US31,31,Nebraska,1855617,1637794,86423,16163,35696,1150,37075,41316,4905
0400000US32,32,Nevada,2761584,1935379,229638,30155,207610,17207,225537,116058,17922
0400000US33,33,New Hampshire,1321069,1239543,16293,2510,30560,280,7805,24078,2555
0400000US34,34,New Jersey,8874374,6094052,1201339,18921,779841,2671,557107,220443,55046
0400000US35,35,New Mexico,2080085,1521876,42515,190350,28578,1271,230398,65097,23418
0400000US36,36,New York,19594330,12733518,3060048,74572,1522549,6258,1649123,548262,155051
0400000US37,37,North Carolina,9750405,6784901,2093389,113798,231830,6083,293865,226539,30103
0400000US38,38,North Dakota,704925,628770,10781,36989,8124,312,5113,14836,1091
0400000US39,39,Ohio,11560380,9549343,1407493,21077,208725,2893,96823,274026,23296
0400000US40,40,Oklahoma,3818851,2799122,277007,274099,71396,4390,96727,296110,14400
0400000US41,41,Oregon,3900343,3317668,70700,47155,152259,14513,144234,153814,17284
0400000US42,42,Pennsylvania,12758729,10449680,1395718,22951,377735,3740,249147,259758,36367
0400000US44,44,Rhode Island,1053252,856605,66827,4951,32994,536,61994,29345,6712
0400000US45,45,South Carolina,4727273,3176381,1305347,15137,63199,2326,73984,90899,9117
0400000US46,46,South Dakota,834708,712496,12642,72016,9433,229,7199,20693,1331
0400000US47,47,Tennessee,6451365,5029109,1082001,17656,98441,3256,98240,122662,11913
0400000US48,48,Texas,26092033,19499105,3094227,127236,1067008,21867,1662288,620302,150808
0400000US49,49,Utah,2858111,2515352,31163,31999,60631,26491,122012,70463,13198
0400000US50,50,Vermont,626358,595385,6435,2008,8200,214,1924,12192,569
0400000US51,51,Virginia,8185131,5668363,1577943,23421,475632,5485,179166,255121,29175
0400000US53,53,Washington,6899123,5392302,250484,95117,518072,42608,261577,338963,33540
0400000US54,54,West Virginia,1853881,1735816,59129,3075,13144,645,5151,36921,1561
0400000US55,55,Wisconsin,5724692,4965198,357758,49563,137404,1303,92690,120776,15013
0400000US56,56,Wyoming,575251,522535,5958,13144,5377,332,12387,15518,2242
0400000US72,72,Puerto Rico,3638965,2533581,290999,11102,11484,129,395458,396212,19734
