GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race
0400000US01,01,Alabama,4830620,3325464,1276544,23850,59599,2439,61078,81646,7032
0400000US02,02,Alaska,733375,484250,25022,101313,42921,8841,9273,61755,3202
0400000US04,04,Arizona,6641928,5210335,281576,294721,200090,12471,430890,211845,47488
0400000US05,05,Arkansas,2958208,2307849,459748,18409,40336,6845,62484,62537,5557
0400000US06,06,California,38421464,23747013,2265387,287028,5261978,150370,4974791,1734897,396499
0400000US08,08,Colorado,5278906,4446095,213787,50008,153467,7695,224374,183480,35786
0400000US09,09,Connecticut,3593222,2778362,370501,8908,150670,981,181881,101919,24131
0400000US10,10,Delaware,926454,642623,200481,3140,33643,306,20995,25266,2699
0400000US11,11,District of Columbia,647484,260325,316447,2154,23822,250,27159,17327,2442
0400000US12,12,Florida,19645772,14934702,3171108,54569,509085,11024,493202,472082,87803
0400000US13,13,Georgia,10006693,6025691,3096757,25887,360448,4704,279403,213803,31108
0400000US15,15,Hawaii,1406299,357164,28688,3012,530551,138901,14864,333119,10332
0400000US16,16,Idaho,1616547,1482914,9900,20504,21711,1921,38371,41226,4935
0400000US17,17,Illinois,12873761,9312771,1846108,28363,645642,3407,747933,289537,58178
0400000US18,18,Indiana,6568645,5529201,603014,14793,121729,2285,152022,145601,19143
0400000US19,19,Iowa,3093526,2820046,97788,9977,62997,1882,39872,60964,6004
0400000US20,20,Kansas,2892987,2464566,168402,24022,75653,1796,63183,95365,10092
0400000US21,21,Kentucky,4397353,3851591,347034,9063,55483,2197,41149,90836,7466
0400000US22,22,Louisiana,4625253,2902538,1484363,27238,77818,1824,47595,83877,9281
0400000US23,23,Maine,1329100,1262026,15037,7811,14590,187,3151,26298,884
0400000US24,24,Maryland,5930538,3416107,1750916,15579,357616,2754,211914,175652,20414
0400000US25,25,Massachusetts,6705586,5334859,478947,13189,400675,1644,281595,194677,33178
0400000US26,26,Michigan,9900571,7823875,1381388,53951,268766,2083,109184,261324,24951
0400000US27,27,Minnesota,5419171,4594367,299176,56561,240786,1970,82085,144226,11014
0400000US28,28,Mississippi,2988081,1768174,1116457,12896,28900,409,25911,35334,3464
0400000US29,29,Missouri,6045448,4995527,697022,24951,106537,6161,67605,147645,13099
0400000US30,30,Montana,1014699,904977,4757,65693,7187,848,5460,25777,1344
0400000US31,31,Nebraska,1869365,1647551,88195,16319,38066,1280,36359,41595,4802
0400000US32,32,Nevada,2798636,1929661,235721,31393,214846,17942,246138,122935,19626
0400000US33,33,New Hampshire,1324201,1241313,17439,2238,31364,228,7273,24346,2243
0400000US34,34,New Jersey,8904413,6083940,1202300,18335,804989,2808,568215,223826,52672
0400000US35,35,New Mexico,2084117,1524911,43738,190528,28761,1276,226850,68053,23997
0400000US36,36,New York,19673174,12704637,3070392,74793,1570223,6485,1685765,560879,153078
0400000US37,37,North Carolina,9845333,6839831,2115338,116143,244076,6244,292310,231391,28209
0400000US38,38,North Dakota,721640,640208,11872,38286,8979,304,5859,16132,952
0400000US39,39,Ohio,11575977,9538328,1412045,21646,216170,3060,97516,287212,23289
0400000US40,40,Oklahoma,3849733,2813794,278571,279276,74570,4701,98885,299936,15087
0400000US41,41,Oregon,3939233,3352941,72837,46258,156695,15042,132667,162793,17054
0400000US42,42,Pennsylvania,12779559,10430142,1403143,23641,392595,4279,253070,272689,35774
0400000US44,44,Rhode Island,1053661,854859,68243,5106,34213,373,61085,29782,6665
0400000US45,45,South Carolina,4777576,3210708,1315058,14966,66982,2588,73324,93950,10215
0400000US46,46,South Dakota,843190,716691,13133,72619,10152,332,7940,22323,1306
0400000US47,47,Tennessee,6499615,5059894,1091070,17802,102027,3323,96739,128760,12111
0400000US48,48,Texas,26538614,19874610,3152917,126493,1124011,21655,1585866,653062,149597
0400000US49,49,Utah,2903379,2544735,31909,31824,64102,26147,129907,74755,12962
0400000US50,50,Vermont,626604,594443,6949,2018,8774,249,2002,12169,528
0400000US51,51,Virginia,8256630,5695147,1589345,22570,492973,5304,183124,268167,29832
0400000US53,53,Washington,6985464,5434177,253224,93266,535501,44159,264432,360705,34969
0400000US54,54,West Virginia,1851420,1732235,61367,2953,13485,625,4566,36189,1512
0400000US55,55,Wisconsin,5742117,4967124,360792,50449,143732,1233,96057,122730,14839
0400000US56,56,Wyoming,579679,527763,6142,12658,5319,423,11885,15489,1920
0400000US72,72,Puerto Rico,3583073,2495997,301519,11775,10159,129,431443,332051,19269
