GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race
0400000US01,01,Alabama,4747424,3307557,1244112,26399,52668,1256,49759,65673,5139
0400000US02,02,Alaska,700703,472504,23426,97628,35912,6848,8981,55404,2802
0400000US04,04,Arizona,6337373,4987541,252127,280986,172290,11933,460186,172310,45962
0400000US05,05,Arkansas,2895928,2271277,449283,17239,34815,5031,64000,54283,5084
0400000US06,06,California,36969200,22860341,2252129,287712,4825271,141382,5142478,1459887,384789
0400000US08,08,Colorado,4966061,4167044,195640,48201,134228,5798,255364,159786,32837
0400000US09,09,Connecticut,3558172,2796198,347941,8104,134108,1327,188390,82104,18210
0400000US10,10,Delaware,890856,630804,188519,3109,28726,442,19821,19435,2145
0400000US11,11,District of Columbia,593955,231122,308516,1779,20773,311,20095,11359,1432
0400000US12,12,Florida,18688787,14270053,2946899,58192,455403,11005,564351,382884,84287
0400000US13,13,Georgia,9600612,5849795,2922448,23979,308677,4653,330408,160652,24716
0400000US15,15,Hawaii,1346554,335908,21628,3198,524274,129157,16293,316096,9993
0400000US16,16,Idaho,1549987,1431372,8823,19584,18714,2425,31121,37948,5327
0400000US17,17,Illinois,12790182,9214977,1859608,25216,583302,3185,869769,234125,52921
0400000US18,18,Indiana,6454254,5482893,576304,14772,99194,1233,148087,131771,19758
0400000US19,19,Iowa,3032266,2782349,85714,9958,52881,1112,47376,52876,6598
0400000US20,20,Kansas,2830985,2412703,163063,23860,67532,1734,76328,85765,11057
0400000US21,21,Kentucky,4316040,3808381,336628,8913,47754,2403,42767,69194,6762
0400000US22,22,Louisiana,4484596,2838981,1429820,28154,69355,1719,51051,65516,8224
0400000US23,23,Maine,1328543,1268113,13979,7124,13745,310,3621,21651,1306
0400000US24,24,Maryland,5736545,3397326,1683842,16603,312883,2708,183883,139300,17280
0400000US25,25,Massachusetts,6512227,5294754,431907,12238,345422,1711,270932,155263,29055
0400000US26,26,Michigan,9920621,7869573,1395245,54638,244623,2690,130312,223540,27270
0400000US27,27,Minnesota,5278190,4556910,264751,57271,208315,2129,72079,116735,9735
0400000US28,28,Mississippi,2956700,1767875,1094596,13775,25807,579,22642,31426,3149
0400000US29,29,Missouri,5955802,4957147,686044,22509,93632,5725,60629,130116,9999
0400000US30,30,Montana,982854,881905,4403,61399,5999,664,5548,22936,1390
0400000US31,31,Nebraska,1813061,1600661,79828,15858,30637,1263,44877,39937,6141
0400000US32,32,Nevada,2673396,1960913,214360,29344,190079,16391,166215,96094,15674
0400000US33,33,New Hampshire,1315911,1241530,14520,2688,27702,296,9783,19392,1949
0400000US34,34,New Jersey,8753064,6095247,1180649,20490,714890,2112,547546,192130,49731
0400000US35,35,New Mexico,2037136,1467191,41082,188613,27214,1157,250192,61687,22465
0400000US36,36,New York,19302448,12768805,3013740,67766,1415147,6706,1588617,441667,129182
0400000US37,37,North Carolina,9418736,6560948,2016228,108960,202815,4725,336670,188390,26665
0400000US38,38,North Dakota,666783,602373,7231,35544,6693,348,3629,10965,646
0400000US39,39,Ohio,11525536,9592249,1395378,21194,190485,2162,94826,229242,20146
0400000US40,40,Oklahoma,3714520,2743563,270192,258295,63471,4257,96773,277969,13547
0400000US41,41,Oregon,3801991,3245856,68155,57114,139258,13447,143151,135010,16348
0400000US42,42,Pennsylvania,12660739,10473096,1358759,18065,341880,2785,250639,215515,32801
0400000US44,44,Rhode Island,1053959,863294,62682,4606,31476,459,66414,25028,6476
0400000US45,45,South Carolina,4575864,3075318,1281627,14939,56575,1920,73405,72080,6998
0400000US46,46,South Dakota,807697,697042,9347,69154,7672,197,6834,17451,1672
0400000US47,47,Tennessee,6297991,4949985,1048714,15285,90471,3097,89351,101088,10918
0400000US48,48,Texas,24774187,18093212,2917108,125101,939558,19966,2155160,524082,158367
0400000US49,49,Utah,2715379,2426175,29056,30842,54866,25137,88966,60337,10924
0400000US50,50,Vermont,624958,596736,5464,1802,7544,155,2116,11141,568
0400000US51,51,Virginia,7926192,5526985,1545568,25665,430227,5295,194281,198171,27049
0400000US53,53,Washington,6652845,5256224,233549,94243,470798,37084,268032,292915,32338
0400000US54,54,West Virginia,1846372,1736461,58296,3052,11809,456,4215,32083,1422
0400000US55,55,Wisconsin,5664893,4941085,352620,48741,125630,1503,93948,101366,14578
0400000US56,56,Wyoming,554697,506661,4309,12752,3985,204,11907,14879,3011
0400000US72,72,Puerto Rico,3742586,2695914,274200,7554,11701,77,376859,376281,19721
