"","black_PAIR","native_american_PAIR","asian_PAIR","pacific_islander_PAIR","ID","black_PAAD","native_american_PAAD","asian_PAAD","pacific_islander_PAAD","Year","State","black_CAP","asian_CAP","pacific_islander_CAP","native_american_CAP","black_per_pop","asian_per_pop","pacific_islander_per_pop","native_american","black_PAIMI","native_american_PAIMI","asian_PAIMI","pacific_islander_PAIMI"
"128",NA,NA,NA,NA,"Missouri, 2015",0.16477,0.02273,0.01136,0,2015,"Missouri",0.3684,0.0175,0,0,0.1161,0.0192,0.0012,0.0042,0.28037,0.00935,0,0
"129",0.00662,0.11921,0,0,"Montana, 2015",0,0.1413,0,0,2015,"Montana",0,0,0,0.1,0.005,0.008,7e-04,0.0614,0.00699,0.15035,0,0
"130",0.1,0,0,0.05,"Nebraska, 2015",NA,NA,NA,NA,2015,"Nebraska",0.0938,0,0,0,0.047,0.0227,6e-04,0.0083,0.16279,0,0,0
"131",0.20635,0.01587,0.03175,0,"Nevada, 2015",0.07937,0,0.01587,0,2015,"Nevada",0.1522,0.0435,0,0.02174,0.0848,0.0787,0.006,0.0087,0.27778,0.02778,0.02778,0
"132",0.01948,0.00974,0.00974,0,"New Hampshire, 2015",0.02771,0.00504,0.01763,0.00252,2015,"New Hampshire",0.0769,0,0,0,0.0126,0.0277,3e-04,0.0021,0.00777,0.01554,0.01554,0
"133",0.21071,0,0.01786,0.00179,"New Jersey, 2015",0.14125,0,0.01875,0.0025,2015,"New Jersey",0.2243,0.028,0,0,0.1293,0.0922,3e-04,0.0014,0.25952,0,0.01038,0
"134",0.06897,0.10345,0,0,"New Mexico, 2015",0.00641,0.02564,0.0641,0.17949,2015,"New Mexico",0.037,0,0,0.07407,0.018,0.0148,6e-04,0.0876,0.0354,0.0354,0,0
"135",0.19533,0.00167,0.01002,0,"New York, 2015",0.16577,0,0.01081,0.00541,2015,"New York",0.3247,0.0182,0,0.00779,0.1454,0.0832,4e-04,0.0029,0.34615,0,0.00321,0.00321
"136",0.32061,0.01527,0.00763,0.00763,"North Carolina, 2015",NA,NA,NA,NA,2015,"North Carolina",0.3769,0,0,0.00769,0.2141,0.0272,6e-04,0.0114,0.40948,0,0.00431,0
"137",0,0.08108,0.01351,0,"North Dakota, 2015",NA,NA,NA,NA,2015,"North Dakota",0.0612,0,0,0.26531,0.0249,0.0139,5e-04,0.051,0.045,0.215,0,0.005
"138",0.18713,0.00299,0.00599,0,"Ohio, 2015",0.10876,0,0.00604,0,2015,"Ohio",0.2836,0.0224,0,0,0.1242,0.0212,4e-04,0.0019,0.3297,0.00311,0.00467,0
"139",0.17359,0.07122,0.00445,0,"Oklahoma, 2015",0.11512,0.05581,0.00698,0.00233,2015,"Oklahoma",0.3103,0.0172,0,0.13793,0.0741,0.0217,0.0015,0.0829,0.1719,0.06821,0.00955,0.00136
"140",0,0,0,0,"Oregon, 2015",0.01818,0.00909,0.02727,0,2015,"Oregon",0.1296,0,0,0.07407,0.0184,0.0427,0.0038,0.0112,0.07843,0.03922,0.03922,0.01961
"141",0.23181,0.0027,0.00404,0,"Pennsylvania, 2015",0.13893,0.00289,0.00724,0,2015,"Pennsylvania",0.2316,0,0,0.01053,0.1074,0.033,3e-04,0.0014,0.30757,0.00161,0.00161,0
"142",0.04217,0.01205,0.01807,0,"Rhode Island, 2015",0.06419,0.00338,0.00338,0,2015,"Rhode Island",0,0.0185,0,0,0.0577,0.0339,6e-04,0.0043,0.05366,0.00976,0.00976,0
"143",0.46154,0,0,0,"South Carolina, 2015",0.28671,0,0,0,2015,"South Carolina",0.4478,0.0075,0.0075,0,0.2714,0.0153,6e-04,0.0037,0.4505,0.00495,0,0
"144",0.03448,0.16092,0,0.01149,"South Dakota, 2015",0.04196,0.18881,0.02098,0,2015,"South Dakota",0,0.0714,0,0.35714,0.0178,0.013,5e-04,0.0843,0.05303,0.15152,0,0
"145",0.24771,0,0.01835,0,"Tennessee, 2015",0.15441,0.00735,0.00735,0,2015,"Tennessee",0.3371,0,0,0,0.1679,0.017,5e-04,0.0027,0.33594,0.00781,0,0
"146",0.16949,0.00565,0.00989,0,"Texas, 2015",0.14912,0.00146,0.01462,0,2015,"Texas",0.2674,0.022,0,0.00733,0.1176,0.0457,8e-04,0.0032,0.3314,0.01013,0.00579,0
"147",0.02055,0.01027,0.00685,0.00342,"Utah, 2015",0,0.00369,0,0.01107,2015,"Utah",0.0253,0,0,0.00633,0.0104,0.0227,0.0093,0.0096,0.03665,0.01047,0,0.01047
"148",0.04396,0.01099,0,0,"Vermont, 2015",0.02922,0.00974,0.02273,0,2015,"Vermont",0.0851,0,0.0213,0.02128,0.0117,0.0167,3e-04,0.0032,0.02353,0,0,0
"149",0.30631,0,0.01802,0,"Virginia, 2015",NA,NA,NA,NA,2015,"Virginia",0.4891,0.0109,0.0109,0,0.1907,0.0632,7e-04,0.0026,0.39535,0.00775,0.0155,0
"150",0.06085,0.02646,0.02381,0.01058,"Washington, 2015",NA,NA,NA,NA,2015,"Washington",0.1111,0.0117,0.0058,0.04678,0.0374,0.0828,0.0066,0.013,0.12821,0.02564,0.02564,0.00366
"151",0.09091,0,0,0,"West Virginia, 2015",0.02632,0,0,0,2015,"West Virginia",0.1111,0,0,0,0.0346,0.008,2e-04,0.0021,0.11111,0,0,0
"152",0.30337,0.02247,0,0,"Wisconsin, 2015",0.12353,0.01176,0.02941,0.00588,2015,"Wisconsin",0.2995,0.0048,0,0.01932,0.0634,0.0274,3e-04,0.0088,0.18803,0,0.01709,0
"153",0,0.07143,0,0,"Wyoming, 2015",0.01136,0.09091,0.01136,0.01136,2015,"Wyoming",0.0833,0,0,0.08333,0.0112,0.0089,7e-04,0.0211,0.02564,0.02564,0.02564,0
