GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race
0400000US01,01,Alabama,4841164,3325037,1282053,23919,60744,2008,61991,85412,6877
0400000US02,02,Alaska,736855,483518,24443,103574,44218,8862,9900,62340,3056
0400000US04,04,Arizona,6728577,5235158,287110,296732,205229,12863,468906,222579,47299
0400000US05,05,Arkansas,2968472,2307136,460638,18697,41539,6738,67645,66079,6519
0400000US06,06,California,38654206,23680584,2261835,285512,5354608,150908,5133600,1787159,399908
0400000US08,08,Colorado,5359295,4517058,219349,50160,157523,7441,224029,183735,35080
0400000US09,09,Connecticut,3588570,2768080,372696,9399,152782,1031,177594,106988,24621
0400000US10,10,Delaware,934695,647002,203027,3494,34428,461,20452,25831,2615
0400000US11,11,District of Columbia,659009,266035,318598,2174,24036,271,29650,18245,2561
0400000US12,12,Florida,19934451,15130748,3216994,52904,521272,11288,505877,495368,88533
0400000US13,13,Georgia,10099320,6039389,3148134,28950,373983,4916,281491,222457,32837
0400000US15,15,Hawaii,1413673,353643,25871,2715,537363,143973,13479,336629,10612
0400000US16,16,Idaho,1635483,1493155,10433,21454,21630,2003,44758,42050,5205
0400000US17,17,Illinois,12851684,9270907,1837612,29399,655799,4186,753559,300222,60418
0400000US18,18,Indiana,6589578,5534759,608226,15799,130232,2746,151500,146316,19008
0400000US19,19,Iowa,3106589,2823890,103052,9951,66570,2422,39410,61294,5408
0400000US20,20,Kansas,2898292,2468923,167706,23871,77605,1874,62283,96030,9574
0400000US21,21,Kentucky,4411989,3859516,350242,9052,57084,2584,40674,92837,8138
0400000US22,22,Louisiana,4645670,2909290,1494201,26403,78719,1464,50434,85159,8633
0400000US23,23,Maine,1329923,1260476,16303,8013,14643,211,3151,27126,841
0400000US24,24,Maryland,5959902,3408240,1765926,15946,362259,2792,218586,186153,21051
0400000US25,25,Massachusetts,6742143,5343665,489233,13931,411736,2002,278562,203014,32167
0400000US26,26,Michigan,9909600,7817827,1376446,52891,276769,2492,111377,271798,25328
0400000US27,27,Minnesota,5450868,4597525,310853,56904,246819,1969,88296,148502,11416
0400000US28,28,Mississippi,2989192,1764038,1121327,13072,28562,492,26334,35367,2754
0400000US29,29,Missouri,6059651,5000875,701896,25641,107953,6479,68766,148041,12082
0400000US30,30,Montana,1023391,911907,4260,67222,7481,841,5158,26522,1435
0400000US31,31,Nebraska,1881259,1655708,88388,15739,39794,1305,36672,43653,4471
0400000US32,32,Nevada,2839172,1933057,243552,31927,222612,18334,260654,129036,20889
0400000US33,33,New Hampshire,1327503,1243594,17483,2085,32094,229,7112,24906,2375
0400000US34,34,New Jersey,8915456,6075710,1207221,18470,819208,2811,566323,225713,53011
0400000US35,35,New Mexico,2082669,1530636,41957,193295,29168,1340,218476,67797,24343
0400000US36,36,New York,19697457,12667413,3073278,75751,1599216,7528,1697831,576440,150198
0400000US37,37,North Carolina,9940828,6882915,2137131,117479,254550,6588,298795,243370,27777
0400000US38,38,North Dakota,736162,649730,14761,38369,9296,336,5691,17979,1459
0400000US39,39,Ohio,11586941,9519506,1421943,21459,224520,3248,98088,298177,24850
0400000US40,40,Oklahoma,3875589,2823497,281295,286231,77541,4969,102292,299764,14819
0400000US41,41,Oregon,3982267,3387825,74012,45233,160155,14936,124565,175541,17190
0400000US42,42,Pennsylvania,12783977,10402743,1410563,24947,401979,4463,253514,285768,36846
0400000US44,44,Rhode Island,1054491,854026,68886,5130,34598,575,61218,30058,6613
0400000US45,45,South Carolina,4834605,3252252,1322368,15417,68553,2784,73149,100082,10470
0400000US46,46,South Dakota,851058,721410,14078,74187,11351,313,7480,22239,1463
0400000US47,47,Tennessee,6548009,5096733,1100577,18757,105368,3299,90065,133210,12118
0400000US48,48,Texas,26956435,20174403,3221133,128145,1175423,22248,1561683,673400,147528
0400000US49,49,Utah,2948427,2572595,32512,31686,66039,26411,141374,77810,12791
0400000US50,50,Vermont,626249,592965,7404,1984,9212,206,2309,12169,466
0400000US51,51,Virginia,8310301,5712958,1596352,21948,502878,5494,190972,279699,30698
0400000US53,53,Washington,7073146,5470566,256990,94026,552032,44870,276959,377703,35229
0400000US54,54,West Virginia,1846092,1725411,63305,3281,13990,648,5731,33726,1508
0400000US55,55,Wisconsin,5754798,4961193,361730,51459,148077,1378,105038,125923,15125
0400000US56,56,Wyoming,583029,531851,6435,13033,5385,391,10403,15531,2015
0400000US72,72,Puerto Rico,3529385,2448085,320087,11814,9574,182,474879,264764,18682
