GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD03,HD01_VD04,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09
Id,Id2,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Estimate; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race
0400000US01,01,Alabama,4799277,3326188,1262152,25278,56831,1387,55296,72145,6003
0400000US02,02,Alaska,720316,481638,25033,101273,39200,8013,8402,56757,2865
0400000US04,04,Arizona,6479703,5131739,270027,286953,182953,12607,404159,191265,44039
0400000US05,05,Arkansas,2933369,2295446,454903,17945,37776,5697,63295,58307,5041
0400000US06,06,California,37659181,23467167,2255372,286397,5005635,146290,4870961,1627359,394809
0400000US08,08,Colorado,5119329,4301096,203755,49177,141719,6549,241998,175035,34991
0400000US09,09,Connecticut,3583561,2792554,361668,8770,141709,1304,183445,94111,22076
0400000US10,10,Delaware,908446,635474,194964,3010,30422,567,20943,23066,2718
0400000US11,11,District of Columbia,619371,248141,310530,1990,21845,233,22165,14467,1974
0400000US12,12,Florida,19091156,14568521,3056152,58390,475905,11258,490475,430455,86988
0400000US13,13,Georgia,9810417,5948977,3010984,24496,330392,4554,297844,193170,29524
0400000US15,15,Hawaii,1376298,344488,24532,3050,526743,134733,15418,327334,11066
0400000US16,16,Idaho,1583364,1455692,8957,19984,20141,2216,36915,39459,5623
0400000US17,17,Illinois,12848554,9320910,1851524,27548,609923,2979,769968,265702,54164
0400000US18,18,Indiana,6514861,5510618,592954,14975,107563,1852,150197,136702,18876
0400000US19,19,Iowa,3062553,2802839,91754,9440,55878,1389,43024,58229,6999
0400000US20,20,Kansas,2868107,2449273,164299,23958,70408,1887,65807,92475,10610
0400000US21,21,Kentucky,4361333,3835013,341576,8811,51411,2019,41980,80523,7556
0400000US22,22,Louisiana,4567968,2874235,1463345,28466,73460,2141,51142,75179,8458
0400000US23,23,Maine,1328320,1264047,14637,7364,14391,246,3562,24073,1024
0400000US24,24,Maryland,5834299,3406243,1717582,17535,332620,2570,195644,162105,19576
0400000US25,25,Massachusetts,6605058,5318548,454887,12956,368178,1876,267875,180738,33080
0400000US26,26,Michigan,9886095,7841011,1385154,54881,251175,2230,107676,243968,26350
0400000US27,27,Minnesota,5347740,4575991,279944,57479,222761,2259,77273,132033,10767
0400000US28,28,Mississippi,2976872,1769766,1106982,13030,27646,274,24666,34508,3072
0400000US29,29,Missouri,6007182,4984653,691128,22781,98962,6263,64155,139240,11385
0400000US30,30,Montana,998554,893032,4038,64426,6246,676,5841,24295,1455
0400000US31,31,Nebraska,1841625,1624312,84228,16408,34144,1254,41346,39933,5352
0400000US32,32,Nevada,2730066,1948808,224424,29446,202157,16841,200115,108275,16883
0400000US33,33,New Hampshire,1319171,1240404,16011,2588,29337,214,8788,21829,1708
0400000US34,34,New Jersey,8832406,6108784,1197753,20482,756668,2610,528846,217263,53432
0400000US35,35,New Mexico,2069706,1511087,42196,189953,28034,1477,233341,63618,22492
0400000US36,36,New York,19487053,12779326,3042152,72740,1479326,7365,1595715,510429,146830
0400000US37,37,North Carolina,9651380,6727690,2068726,111733,221392,5390,297514,218935,29448
0400000US38,38,North Dakota,689781,618098,9273,36659,7362,332,4531,13526,1010
0400000US39,39,Ohio,11549590,9569431,1402897,20709,201394,2402,93753,259004,20746
0400000US40,40,Oklahoma,3785742,2783609,273421,266509,68161,4283,95783,293976,13903
0400000US41,41,Oregon,3868721,3297149,70328,47411,147986,14993,145000,145854,16910
0400000US42,42,Pennsylvania,12731381,10467433,1385799,20258,363967,3510,246840,243574,35510
0400000US44,44,Rhode Island,1051695,855594,66569,4616,32384,383,64602,27547,6178
0400000US45,45,South Carolina,4679602,3144146,1298534,14732,61097,2128,74130,84835,9589
0400000US46,46,South Dakota,825198,706667,11531,71766,8597,226,7214,19197,1439
0400000US47,47,Tennessee,6402387,5007014,1073534,16604,95801,3110,93081,113243,11536
0400000US48,48,Texas,25639373,19075100,3030970,129219,1019260,20974,1773524,590326,154971
0400000US49,49,Utah,2813673,2487467,31101,31696,58150,26145,112795,66319,12508
0400000US50,50,Vermont,625904,595862,6139,1841,7922,145,1744,12251,594
0400000US51,51,Virginia,8100653,5627076,1568021,24816,457792,5633,179449,237866,27985
0400000US53,53,Washington,6819579,5350938,245041,94194,498941,40695,265299,324471,33425
0400000US54,54,West Virginia,1853619,1737996,58489,2955,12806,666,4739,35968,1243
0400000US55,55,Wisconsin,5706871,4966900,355873,49343,132609,1305,85288,115553,14278
0400000US56,56,Wyoming,570134,518388,5167,13268,4782,197,12491,15841,2714
0400000US72,72,Puerto Rico,3682966,2575834,284860,10471,12120,61,365364,434256,19219
