,,Hispanic/Latino (of any race),"American Indian/Alaskan
Native",Asian,Black/African American,"Native Hawaiian/Pacific
 Islander",White,Two or more races *,"Unknown
Not Provided","Total 
Clients"
2015,MO,2,4,2,29,0,133,6,0,176
2015,MT,0,13,0,0,0,75,2,2,92
2015,NA,0,43,0,0,0,0,0,0,43
2015,NE ,2,0,0,1,0,30,4,0,37
2015,NV,27,0,1,5,0,28,2,0,63
2015,NH,9,2,7,11,1,352,9,6,397
2015,NJ,116,0,15,113,2,449,21,84,800
2015,NM,56,4,10,1,28,7,0,0,156
2015,NY,64,0,6,92,3,354,22,14,555
2015,OH,6,0,4,72,0,382,9,189,662
2015,OK,60,48,6,99,2,571,74,0,860
2015,OR,16,1,3,2,0,31,0,57,110
2015,PA,38,2,5,96,0,520,0,30,691
2015,PR,1098,0,1,0,0,0,0,0,1099
2015,RI,29,1,1,19,0,223,2,21,296
2015,SC,11,0,0,41,0,79,2,10,143
2015,SD,3,27,3,6,0,102,2,0,143
2015,TN,3,1,1,21,0,101,3,6,136
2015,TX,484,2,20,204,0,616,14,28,1368
2015,UT,32,1,0,0,3,232,0,3,271
2015,VT,5,3,7,9,0,223,1,60,308
2015,VI,15,0,1,35,0,4,2,1,58
2015,WV,0,0,0,2,0,73,1,0,76
2015,WI,12,2,5,21,1,122,5,2,170
2015,WY,8,8,1,1,1,68,0,1,88
2015,TOTAL,2665,218,223,1963,117,7938,487,634,14245
